geonameid	name	asciiname	alternatenames	latitude	longitude	feature_class	feature_code	country_code	cc2	admin1_code	admin2_code	admin3_code	admin4_code	population	elevation	dem	timezone	modification_date
9964299	Rio	Rio		25.2493	55.3359	S	HTL	AE		03				0		4	Asia/Dubai	2015-01-20
11886912	Texas	Texas		25.20456	55.15056	T	ISLF	AE		03	8469718			0		-9999	Asia/Dubai	2018-06-15
11886913	Japan	Japan		25.24462	55.18425	T	ISLF	AE		03	8469718			0		-9999	Asia/Dubai	2018-06-15
11886914	Antarctica	Antarctica		25.21546	55.1904	T	ISLF	AE		03	8469718			0		-9999	Asia/Dubai	2018-06-15
11886917	Mexico	Mexico		25.20209	55.15394	T	ISLF	AE		03				0		-9999	Asia/Dubai	2018-06-15
11886918	Queensland	Queensland		25.23792	55.19369	T	ISLF	AE		03	8469718			0		-9999	Asia/Dubai	2018-06-15
11886922	Rio de Janeiro	Rio de Janeiro		25.20892	55.16795	T	ISLF	AE		03	8469718			0		-9999	Asia/Dubai	2018-06-15
12060405	Dubai	Dubai		24.94089	55.38697	A	ADM2	AE		03	201			2976455		85	Asia/Dubai	2019-06-26
1130018	Kalābusṯ	Kalabust	Best,Bost,Bust,Kala-i-Bist,Kalabost,Kalabust,Kalābost,Kalābust,Kalābusṯ,Kariz-e Bost,Kārīz-e Bost,Qal`a Bust,Qal`eh-ye Bost,Qala Bist,Qala Bīst,Qalai Bost,Qal‘a Bust,Qal‘eh-ye Bost,کلابسټ	31.48486	64.37409	L	AREA	AF		10				0		758	Asia/Kabul	2020-06-09
1131461	Uruzgān	Uruzgan	Aruzgan,Lalawigan ng Urozgan,Orouznkan,Orozgan,Orozgân,Orozgān,Orusgan,Orusgán,Oruzgan,Oruzgan Province,Oruzgan probintzia,Oruzganas province,Orúzgán,Orūzgān,Orūzgān Province,Orūzgānas province,Owruzgan,Owrūzgān,Pravincyja Uruzgan,Propinsi Uruzgan,Provincia Urozgan,Provincija Oruzgan,Provinco Uruzgan,Provinsi Oruzgan,Ruzgan,Uro'zgon viloyati,Urozgan,Urozgan Seng,Urozgan Séng,Urozgano provincija,Uroʻzgon viloyati,Urusgan,Uruzgan,Uruzgan Vilayeti,Uruzgan ajmag,Uruzgani provints,Uruzganin maakunta,Uruzganska pokrajina,Uruzgān,Uruzgāni provints,Urūzgān,Velayat-e Oruzgan,Velāyat-e Orūzgān,Viloati Uruzgon,Wilayat-e Uruzgan,Wilāyat-e Uruzgān,arojagana pranta,arwzgan,arwzgan swbw,arwzgan wlayt,arwzqan wylayt,arzgan,astwn arwzgan,canghwad xu ran kan,orujagana pradesa,orujagana suba,oruzgana pranta,provincia d'Oruzgan,província d'Oruzgan,ulujeuganju,urojagana,urojgan,urojhagana,uroskkan,uruzugan zhou,wlayt arwzgan,wlayt arwzkan,wu lu ci gan sheng,wu lu zi gan sheng,wu lu zi gen sheng,yurojgan,Ορουζγκάν,Вилояти Урӯзгон,Орузган,Правінцыя Урузган,Провинција Орузган,Урузган,Урузган аймаг,אורוזגאן,آستون اروزگان,ئۇرۇزگان ۋىلايىتى,ارزگان,اروزقان ویلایت,اروزگان,اروزگان صوبو,اروزگان ولايت,صوبہ اروزگان,ولاية أروزكان,ولایت اروزگان,پارێزگای ئووروزگان,अरोजगान प्रान्त,उरोजगण,ओरूज़्गान प्रान्त,ওরুজগন প্রদেশ,ਓਰੁਜਗਾਨ ਸੂਬਾ,ઉરોઝગન,உரோஸ்க்கான்,యూరోజ్గాన్,ಉರೊಜ್ಗನ್,ഉറോസ്ഗാൻ പ്രവിശ്യ,උරෝස්ගන්,จังหวัดอูรานกัน,ურუზგანის პროვინცია,ウルーズガーン州,乌鲁兹甘省,烏魯茲根省,烏魯茲甘省,우루즈간주	32.83333	66.0	A	ADM1	AF		39				436079		1760	Asia/Kabul	2023-02-14
